Albero,Value
Olivo,18
Mirto,1
Carrubo,7
Fico magnolioide,23
Roverella,13
Sughera,3
Mandorlo,4
Pino d'Aleppo,1
Quercia congesta,2
Farnia,1
Pero domestico,1
Olivastro,1
Platano comune,3
Pino laricio,2
Betulla dell'Etna,3
Cedro dell'Atlante,1
Pino del Queensland,3
Albero del drago,7
Cerro,1
Acero napoletano,1
Acero d'Ungheria,1
Bagolaro,1
Tipuana,1
Fico rugginoso,1
Acero di monte,3
Pino domestico,2
Leccio,3
Faggio,4
Quercia castagnara,5
Cipresso comune,4
Quercia di Dalechamps,1
Pioppo nero,2
Pianta mangiafumo,3
Yucca,1
Palma messicana,1
Fitolacca arborea,1
Fico bianco,1
Palma californiana,1
Palma da datteri,2
Ficus a frutti piccoli,2
Noce Pecan,1
Falso kapok,1
Melaleuca glabra,1
Cycas,1
Pino colonna,3
Pino di Norfolk,2
Lentisco,2
Tamerice africana,1
Cedro del Libano,1
